environment_label,max_runtime_hours,randomize_start_loc,start_loc,goal_location,mode,movement_method,sigma_ang,sigma_d,max_dist,num_bvc_per_dir,num_place_cells,n_hd,trial_name,trial_folder,timestamp
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,0.5,30,50,1500,8,sAng_1.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_0.5,2025-02-20T15:49:58.647822
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,1.0,30,50,1500,8,sAng_1.0_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_1.0,2025-02-20T15:56:33.496858
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,1.5,30,50,1500,8,sAng_1.0_sD_1.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_1.5,2025-02-20T16:03:11.731833
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,2.0,30,50,1500,8,sAng_1.0_sD_2.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_2.0,2025-02-20T16:09:44.120199
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,2.5,30,50,1500,8,sAng_1.0_sD_2.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_2.5,2025-02-20T16:16:20.227471
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,3.0,30,50,1500,8,sAng_1.0_sD_3.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_3.0,2025-02-20T16:22:54.547912
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,3.5,30,50,1500,8,sAng_1.0_sD_3.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_3.5,2025-02-20T16:29:26.489606
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,4.0,30,50,1500,8,sAng_1.0_sD_4.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_4.0,2025-02-20T16:35:57.762620
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,0.5,30,50,1500,8,sAng_1.5_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_0.5,2025-02-20T16:42:32.016421
TestEnvironment,15,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,1.0,30,50,1500,8,sAng_1.5_sD_1.0,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_1.0,2025-02-20T16:49:08.534734
