environment_label,max_runtime_hours,randomize_start_loc,start_loc,goal_location,mode,movement_method,sigma_ang,sigma_d,max_dist,num_bvc_per_dir,num_place_cells,n_hd,trial_name,trial_folder,timestamp
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,0.5,20,100,600,8,sAng_1.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_0.5,2025-02-19T23:43:11.538268
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,0.7,20,100,600,8,sAng_1.0_sD_0.7,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_0.7,2025-02-19T23:57:20.275458
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,0.9,20,100,600,8,sAng_1.0_sD_0.9,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_0.9,2025-02-20T00:11:28.402525
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.0,1.1,20,100,600,8,sAng_1.0_sD_1.1,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.0_sD_1.1,2025-02-20T00:25:29.046242
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,0.5,20,100,600,8,sAng_1.5_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_0.5,2025-02-20T00:39:35.112790
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,0.7,20,100,600,8,sAng_1.5_sD_0.7,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_0.7,2025-02-20T00:53:37.555131
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,0.9,20,100,600,8,sAng_1.5_sD_0.9,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_0.9,2025-02-20T01:07:32.057555
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1.5,1.1,20,100,600,8,sAng_1.5_sD_1.1,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_1.5_sD_1.1,2025-02-20T01:21:17.214274
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,0.5,20,100,600,8,sAng_2.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_0.5,2025-02-20T01:35:05.909310
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,0.7,20,100,600,8,sAng_2.0_sD_0.7,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_0.7,2025-02-20T01:49:00.455163
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,0.9,20,100,600,8,sAng_2.0_sD_0.9,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_0.9,2025-02-20T02:02:42.541066
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.0,1.1,20,100,600,8,sAng_2.0_sD_1.1,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.0_sD_1.1,2025-02-20T02:16:15.788776
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,0.5,20,100,600,8,sAng_2.5_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_0.5,2025-02-20T02:29:53.846172
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,0.7,20,100,600,8,sAng_2.5_sD_0.7,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_0.7,2025-02-20T02:43:43.932690
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,0.9,20,100,600,8,sAng_2.5_sD_0.9,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_0.9,2025-02-20T02:58:01.259214
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,2.5,1.1,20,100,600,8,sAng_2.5_sD_1.1,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_2.5_sD_1.1,2025-02-20T03:12:18.460361
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,0.5,20,100,600,8,sAng_3.0_sD_0.5,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_0.5,2025-02-20T03:26:33.675190
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,0.7,20,100,600,8,sAng_3.0_sD_0.7,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_0.7,2025-02-20T03:40:33.421549
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,0.9,20,100,600,8,sAng_3.0_sD_0.9,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_0.9,2025-02-20T03:54:10.952835
TestEnvironment,30,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,3.0,1.1,20,100,600,8,sAng_3.0_sD_1.1,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\sAng_3.0_sD_1.1,2025-02-20T04:08:23.888617
20Maze,10,False,"[4, -4]","[-3, 3]",RobotMode.LEARN_OJAS,default,1,3,20,50,1500,8,10x10_Test,C:\Users\alexm\Documents\Projects\Alex-Dev-Updated\webots\controllers\alex_controller\trial_data\10x10_Test,2025-02-20T14:03:42.841130
